Scenario,Month,Sensible cooling [MWh],Latent cooling [MWh],Total cooling [MWh],Conditioning electricity [MWh]
rural,5,0.0,0.0,0.0,0.0
rural,6,146.81727999999995,22.925459999999998,169.74273999999994,29.965418622504185
rural,7,2716.083519999999,641.16215,3357.245669999999,626.0915605506066
rural,8,2455.633859999999,888.76024,3344.394099999999,622.2191039818982
rural,9,1.89148,0.8843000000000004,2.7757800000000006,0.4034563953488376
rural,10,0.0,0.0,0.0,0.0
suburban,5,0.0,0.0,0.0,0.0
suburban,6,145.64543,29.59017,175.2356,30.736224756443775
suburban,7,2756.9577000000004,732.7710699999999,3489.72877,649.3521649405146
suburban,8,2614.84551,894.52712,3509.3726300000003,655.0819612143106
suburban,9,2.4377399999999985,0.2861800000000001,2.723919999999999,0.41777914110429454
suburban,10,0.0,0.0,0.0,0.0
cluster_1,5,0.0,0.0,0.0,0.0
cluster_1,6,169.99621425138125,25.031511981132077,195.02772623251332,36.76454662306028
cluster_1,7,3147.9491891519338,698.3860810566038,3846.3352702085376,764.4144476608283
cluster_1,8,2845.0211635027626,968.2434614528302,3813.264624955593,768.3732082601306
cluster_1,9,2.1825202099447525,0.9627190566037742,3.145239266548527,0.5462760988169593
cluster_1,10,0.0,0.0,0.0,0.0
cluster_2,5,0.0,0.0,0.0,0.0
cluster_2,6,165.86714112362637,24.736788396226416,190.60392951985278,35.58882343174966
cluster_2,7,3068.372736527472,693.0510895471699,3761.423826074642,749.7510600043105
cluster_2,8,2774.5264770494505,960.6858753962265,3735.212352445677,754.0878272585037
cluster_2,9,2.141563557692309,0.956045094339623,3.0976086520319317,0.5179427903608218
cluster_2,10,0.0,0.0,0.0,0.0
cluster_3,5,0.0,0.0,0.0,0.0
cluster_3,6,160.5883822955801,24.691540283018874,185.27992257859896,33.791090131032476
cluster_3,7,2972.6358491850824,688.912584490566,3661.5484336756485,708.0081668465192
cluster_3,8,2686.430322058011,955.0491186603773,3641.479440718388,715.1634672876551
cluster_3,9,2.055680627071823,0.949371132075472,3.0050517591472947,0.5040172686503801
cluster_3,10,0.0,0.0,0.0,0.0
cluster_4,5,0.0,0.0,0.0,0.0
cluster_4,6,153.91745396685084,24.800980849056604,178.71843481590744,32.79994080783961
cluster_4,7,2846.884242812155,693.1167736320754,3540.0010164442306,684.427390445873
cluster_4,8,2573.0169608535916,960.9041563207546,3533.9211171743464,683.2714042692136
cluster_4,9,1.969646229281768,0.9552108490566036,2.924857078338372,0.5124495546882004
cluster_4,10,0.0,0.0,0.0,0.0
TMY,5,0.0,0.0,0.0,0.0
TMY,6,87.44949000000003,1.69338,89.14287000000003,13.991868289249672
TMY,7,2234.0427100000006,433.50743,2667.5501400000007,485.84665269987886
TMY,8,2046.1227500000005,435.42683999999997,2481.5495900000005,459.6862756763875
TMY,9,8e-05,0.6814499999999999,0.68153,0.09877246376811598
TMY,10,0.0,0.0,0.0,0.0
nearest,5,0.0,0.0,0.0,0.0
nearest,6,161.78632846537394,24.88337508490566,186.6697035502796,34.04686443708706
nearest,7,2993.533943135734,694.8132449150943,3688.3471880508278,713.2497283888861
nearest,8,2704.9594863822713,963.261767018868,3668.221253401139,720.4380085576969
nearest,9,2.0623102936288094,0.9568793396226414,3.0191896332514507,0.5063885198838435
nearest,10,0.0,0.0,0.0,0.0
