Scenario,Peak day,Daily cooling load [MWh]
rural,2005-06-30,169.74273999999994
suburban,2005-06-30,175.2356
cluster_1,2005-06-30,195.02772623251332
cluster_2,2005-06-30,190.60392951985278
cluster_3,2005-06-30,185.27992257859896
cluster_4,2005-06-30,178.71843481590744
TMY,2005-08-05,147.04106000000002
nearest,2005-06-30,186.6697035502796
