,cluster
T1,1
T100,3
T101,2
T102,0
T103,3
T110,1
T114,3
T116,1
T16,1
T17,2
T2,0
T21,0
T27,2
T30,1
T32,1
T33,0
T35,1
T40,2
T41,1
T43,3
T51,2
T57,1
T59,1
T65,1
T66,1
T67,2
T71,3
T73,0
T74,0
T75,0
T76,1
T8,2
T80,2
T88,3
T90,2
T93,2
T95,1
T96,0
T97,3
T99,0
